number,question,option_1,option_2,option_3,option_4,option_5,option_6,correct_answers,explanation,reference_url,source_file,test_number
7,"If a server in warehouse cluster runs for 64 seconds, shuts down, and then restarts and runs for less than 60 seconds, for how many seconds it will be billed?",120 Seconds,124 Seconds,4 Seconds,64 Seconds,,,2,"The minimum billing charge for provisioning a server is 1 minute (i.e. 60 seconds). So, the total billing will be for 60 + 4+ 60 = 124 seconds.",,Test 5,5
8,How can you validate the COPY INTO command before actually loading data into the table?,None of these,Use parameter VALIDATION_COPY = TRUE | RETURN__ROWS | RETURN_ERRORS |RETURN_ALL_ERRORS with COPY INTO command,Simply count the loaded records and match with stage,USE parameter VALIDATION_MODE = RETURN__ROWS | RETURN_ERRORS |RETURN_ALL_ERRORS,,,4,VALIDATION_MODE instructs the COPY command to validate the data files instead of loading them into the specified table; i.e. the COPY command tests the files for errors but does not load them. The command validates the data to be loaded and returns results based on the validation option specified.,,Test 5,5
9,Which security feature is supported in Snowflake?,Tri-Secret Secure Encryption,All of these,Role-Based Access Control,Multi-Factor Authentication,,,2,"Snowflake is highly secured platform and provides multi-level security like MFA, IP whitelisting, SSO, Tri Secret Secure, Role-Based etc.",,Test 5,5
10,Snowflake offers multiple editions. Which one is not a offering from Snowflake.,Premium,Business Critical,Standard,Enterprise,,,1,Snowflake offers 4 editions: 1 – Standard Edition 2 – Enterprise Edition 3 – Business Critical Edition 4 – Virtual Private Snowflake (VPS),,Test 5,5
11,Snowflake offers the early access of staged release to designated Standard Edition Customer. True or false?,FALSE,TRUE,,,,,1,Snowflake offers early access to designated Enterprise (or higher) accounts.Early access is not required or recommended for all organizations with Enterprise Edition accounts; Snowflakes rigorous release testing and monitoring during deployments is usually sufficient to prevent most issues. Early access is intended primarily for organizations that desire added certainty that their production accounts will not be affected by full releases.,,Test 5,5
12,"If you want to view query history older than 14 days, where can you go to view it? Choose one path and one “term“ commonly used.",SNOWFLAKE (Database) -> ACCOUNT_USAGE (Schema) -> QUERY_HISTORY (Secure View),History-> Profile -> Account_Usage,Account->Usage->History,The Usage Sharing Monitor,The Account Usage Share,,"1, 5",History is available for only 14 days through UI. Older history can be found in ACCOUNT_USAGE.,,Test 5,5
13,Snowflake data storage costs are calculated based on: (Select 2),Amount Stored on First Day of Month,Uncompressed Size,Amount Stored on Last Day of Month,Amount Stored - Daily Average,Compressed Size,,"4, 5",All storage within Snowflake is billable in compressed format. Snowflake considers the daily average storage (in Terabytes) for billing.,,Test 5,5
14,Snowflake Architecture consists of many separate layers. Please select the correct layers. (Select 3).,Cloud Services Layer,Database Storage Layer,Security Layer,Query Processing Layer,,,"1, 2, 4","Snowflake Architecture consists of Cloud Services Layer, Query Processing (Warehouse) Layer and Cloud Services Layer.",,Test 5,5
15,Which vendors do support Snowflake natively for federated authentication and SSO?,Microsoft Azure Active Directory,Okta,Onelogin,Google G Suite,Microsoft ADFS,,"2, 5",Okta and Microsoft ADFS provide native Snowflake support for federated authentication and SSO. Other are not native but Snowflake supports using SAML 2.0-compliant.,,Test 5,5
16,What is the best use of SCALING OUT?,Better Concurrency,Better Performance,,,,,1,SCALING OUT is meant for handling high concurrent queries.,,Test 5,5
17,"Which query will require compute (Virtual Warehouse)? Consider table created as – CREATE or replace TABLE T1 ( ID number(2), Name varchar(20), ID number (11,2) );",SHOW DATABASES;,SELECT CURRENT_ACCOUNT();,SELECT MAX(ID) FROM T1;,SELECT * FROM T1;,SELECT MIN(ID) FROM T1;,,4,"Except SELECT * FROM T1, all the queries return results from cloud services layer metadata, So these queries do not need a running Virtual Warehouse.",,Test 5,5
18,Snowflake Resource Monitor allows administrators to set thresholds and triggers to track credit usage. What methods are most effective for resource monitoring? (Check all that apply).,Setting quota thresholds for trigger actions and notifications,Tracking and controlling credit consumption on a monthly basis,Control global monthly credit usage for an account,Tracking consumption on an hourly basis,,,"1, 2, 3","Resource monitors are not intended for strictly controlling consumption on an hourly basis; they are intended for tracking and controlling credit consumption per interval (day, week, month, etc.). Also, they are not intended for setting precise limits on credit usage (i.e. down to the level of individual credits). For example, when credit quota thresholds are reached for a resource monitor, the assigned warehouses may take some time to suspend, even when the action is Suspend Immediate, thereby consuming additional credits.",,Test 5,5
19,John wants to create a warehouse which should not start immediately. Which property will him to create a warehouse in suspended mode.,AUTO_SUSPEND = INITIAL,INITIATE = FALSE,AUTO_START = FALSE,INITIALLY_SUSPENDED = TRUE,,,4,INITIALLY_SUSPENDED = TRUE will not start the warehouse after creation. By default it is set to FALSE.,,Test 5,5
20,What action causes a Warehouse‘s cache to be purged?,The passing of 24 hours.,Resuming the warehouse.,Suspending the warehouse.,A change to the Metadata Cache size.,,,3,Cache gets purged on suspending the warehouse.,,Test 5,5
21,A user‘s default role is,The name used to log in to the WebUI,The user‘s default role is always PUBLIC,The role a user is set to each time the user logs in to the system,The user‘s default role changes each time the user logs in to the system.,,,3,The role a user is set to each time the user logs in to the system,,Test 5,5
22,What is the best practice after creating a custom role in a Snowflake account?,Grant the role to the USERADMIN role so users can be added to the role.,Grant ownership of the role to itself so a member of the role can control access to the role,Grant PUBLIC to the role so all database objects owned by PUBLIC will be available to the new role,Grant ownership to the SYSADMIN role or a child role under SYSADMIN,,,4,Custom role is mostly created for specific access of specific objects. As per best practice to grant ownership to SYSADMIN or child role under SYSADMIN so that SYSADMIN can control the access on the objects.,,Test 5,5
23,Which of the following are valid context functions?,CURRENT_SESSION( ),CURRENT_CLOUD_INFRASTRUCTURE( ),CURRENT_WORKSHEET( ),CURRENT_REGION( ),CURRENT_CLIENT( ),,"1, 4, 5",CURRENT_WORKSHEET() and CURRENT_CLOUD_INFRASTRUCTURE() are not valid context functions.,,Test 5,5
24,Secured view can be used to hide the definition but its performance can get degraded?,FALSE,TRUE,,,,,2,"Secure views should not be used for views that are defined for query convenience, such as views created for simplifying querying data for which users do not need to understand the underlying data representation. This is because the Snowflake query optimizer, when evaluating secure views, bypasses certain optimizations used for regular views. This might result in some impact on query performance for secure views.",,Test 5,5
25,Which Snowflake Editions have Elastic Data Warehousing. Check all the Snowflake editions that have Elastic Data Warehousing enabled.,Standard,Premium,Virtual Private Snowflake,Enterprise,Business Critical Edition,,"3, 4, 5",Standard Edition only has Single Compute Cluster. Premium is not a Snowflake edition. All other editions have multi clusters capability.,,Test 5,5
26,"In the History Page, a query shows Bytes Scanned having Assigned Partitions: 110, Scanned Partitions 58, and Original Partitions 110. Why did the optimizer show fewer partitions scanned than assigned?",The static optimization determined the number of possible micro partitions would be 110 but the dynamic optimization was able to prune some of the partitions from a joined table,"During the execution of the query, new data was added to the table and the optimizer had to add those micro partitions into the scan.",The query was using an Xlarge warehouse and could scan the partitions in parallel,"The optimizer estimated only 58 partitions would need to be scan but during the execution of the query, the optimizer realized it would have to read all 110 micro partitions",One of the tables in the query was an external table and didnt have micro partitions The metadata for the table was out of date and there were really only 58 partitions total,,1,"Snowflake produces well-clustered data in tables in micro-partitions. Snowflake only targets those micro-partitions which come under the range of query criteria. If table is clustered well, Snowflake scans only few of the micro-partitions.",,Test 5,5
